Brand,Price,Original Price,Discount,Rating,Reviews,Product Link,Image URL
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.9,470,https://www.lenskart.com/vincent-chase-vc-e17089-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e17089-c2-eyeglasses__dsc5098_31_05_2024.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,2801,https://www.lenskart.com/lenskart-air-la-e13519-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/grey-transparent-silver-full-rim-square-lenskart-air-air-essentials-la-e13519-c4-eyeglasses_g_3919.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,399,https://www.lenskart.com/lenskart-studio-lk-e17053-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e17053-c1-eyeglasses__dsc5578_03_06_2024.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,221,https://www.lenskart.com/john-jacobs-jj-e11078-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/brown-blue-brown-tortoise-full-rim-rectangle-john-jacobs-rich-acetate-jj-e11078--c2-eyeglasses__dsc8467_07_10_2025.jpg
Lenskart Air,₹2400,₹ 2900,(17% OFF),4.8,200,https://www.lenskart.com/lenskart-air-la-e17272-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-la-e17272-c2-eyeglasses__dsc7781_03_04_2025.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.8,10,https://www.lenskart.com/john-jacobs-jj-e70178-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/green-full-rim-square-john-jacobs-rich-acetate-jj-e70178-eyeglasses__dsc5698_23_06_2026.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,4992,https://www.lenskart.com/lenskart-air-la-e14573-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/sky-blue-gunmetal-full-rim-rectangle-lenskart-air-signia-la-e14573-c2-eyeglasses_g_4977_6_13_22.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.9,456,https://www.lenskart.com/vincent-chase-vc-e17316-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e17316-c2-eyeglasses__dsc3851_16_05_2024.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,130,https://www.lenskart.com/eye:john-jacobs-jj-e70059/m-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e70059-m-c4-eyeglasses_dsc0263_13_09_2024.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.9,474,https://www.lenskart.com/vincent-chase-vc--e17028-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/black-full-rim-square-vincent-chase-classic-acetate-vc-e17028-c1-eyeglasses__dsc1831_13_05_2024.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,454,https://www.lenskart.com/john-jacobs-jj-e13105-c9-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gunmetal-green-black-full-rim-square-john-jacobs-supreme-steel-jj-e13105-c9-eyeglasses_g_2910_11_10_2022.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,353,https://www.lenskart.com/lenskart-air-la-e13517-n-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/transparent-gold-full-rim-rectangle-lenskart-air-essentials-la-e13517-n-c1-eyeglasses__dsc0240_22_07_2024.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,1221,https://www.lenskart.com/black-golden-full-rim-cat-eye-medium-size-53-vincent-chase-online-steel-escobar-vc-e12400-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/black-gold-full-rim-cat-eye-vincent-chase-sleek-steel-vc-e12400-c2-eyeglasses_csvfile-1645794316610-g_0222.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.9,106,https://www.lenskart.com/john-jacobs-jj-e70107-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e70107-c2-eyeglasses_dsc4826_19_12_2024.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,443,https://www.lenskart.com/lenskart-air-la-e15494-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-la-e15494-c3-eyeglasses_g_5750_09_08_2023.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,75,https://www.lenskart.com/john-jacobs-jj-e16621-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/green-full-rim-rectangle-john-jacobs-eco-acetate-jj-e16621-c2-eyeglasses_img_2832_15feb24.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.9,75,https://www.lenskart.com/lenskart-air-la-e18168-gradient-black-blue-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/green-grey-full-rim-geometric-lenskart-air-classics-la-e18168-eyeglasses__dsc6376_18_09_2025.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,800,https://www.lenskart.com/vincent-chase-vc-e13451-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13451-c4-eyeglasses_csvfile-1689852651546-g_5496.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,50,https://www.lenskart.com/john-jacobs-jj-e70133-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-wayfarer-john-jacobs-jj-rich-acetate-jj-e70133-eyeglasses_dsc2289_11_02_2025.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,1315,https://www.lenskart.com/vincent-chase-vc-e14353-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/black-grey-full-rim-square-vincent-chase-sleek-steel-vc-e14353-c2-eyeglasses_g_0315.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,14,https://www.lenskart.com/john-jacobs-jj-e70180-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/brown-full-rim-square-john-jacobs-rich-acetate-jj-e70180-eyeglasses__dsc5716_23_06_2026.jpg
Lenskart Air,₹2400,₹ 2900,(17% OFF),4.9,261,https://www.lenskart.com/lenskart-air-la-e17273-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-la-e17273-c1-eyeglasses__dsc7829_03_04_2025.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,543,https://www.lenskart.com/vincent-chase-vc-e15958-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e15958-c1-eyeglasses_g_3363_18_09_2023.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,61,https://www.lenskart.com/john-jacobs-jj-e11724-c9-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e11724-c9-eyeglasses__dsc4031_08_10_2024.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,42,https://www.lenskart.com/lenskart-air-la-e18165-transparent-pink-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peach-grey-full-rim-rectangle-lenskart-air-classics-la-e18165-eyeglasses__dsc6412_18_09_2025.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),5,30,https://www.lenskart.com/john-jacobs-jj-e70128-silver-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/silver-full-rim-round-john-jacobs-jj-supreme-steel-jj-e70128-eyeglasses_dsc2310_11_02_2025.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.9,65,https://www.lenskart.com/lenskart-air-la-e18171-gradient-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/black-grey-full-rim-rectangle-lenskart-air-classics-la-e18171-eyeglasses__dsc6339_18_09_2025.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.9,75,https://www.lenskart.com/vincent-chase-vc-e18529-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/black-full-rim-square-vincent-chase-acetate-vc-e18529-eyeglasses__dsc1042_05_08_2025.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,15,https://www.lenskart.com/john-jacobs-jj-e70182-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/transparent-grey-full-rim-square-john-jacobs-rich-acetate-jj-e70182-eyeglasses__dsc5743_23_06_2026.jpg
